"No.","Time","Source","Destination","Protocol","Length","Info"
"2099","2022-12-11 20:38:10.534755178","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2100","2022-12-11 20:38:10.534764119","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42005 Ack=394741 Win=64128 Len=0 TSval=3075500409 TSecr=1630538886"
"2101","2022-12-11 20:38:10.538337644","172.17.0.1","172.17.0.2","HTTP","223","GET /analysis HTTP/1.1 "
"2102","2022-12-11 20:38:10.549704827","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=394741 Ack=42162 Win=64128 Len=511 TSval=1630538901 TSecr=3075500413 [TCP segment of a reassembled PDU]"
"2103","2022-12-11 20:38:10.596145255","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42162 Ack=395252 Win=64128 Len=0 TSval=3075500471 TSecr=1630538901"
"2104","2022-12-11 20:38:10.596277073","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2105","2022-12-11 20:38:10.597769577","172.17.0.1","172.17.0.2","HTTP","224","GET /analytics HTTP/1.1 "
"2106","2022-12-11 20:38:10.603357241","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=396203 Ack=42320 Win=64128 Len=511 TSval=1630538955 TSecr=3075500472 [TCP segment of a reassembled PDU]"
"2107","2022-12-11 20:38:10.603396997","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42320 Ack=396714 Win=64128 Len=0 TSval=3075500478 TSecr=1630538955"
"2108","2022-12-11 20:38:10.604292644","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=396714 Ack=42320 Win=64128 Len=946 TSval=1630538956 TSecr=3075500478 [TCP segment of a reassembled PDU]"
"2109","2022-12-11 20:38:10.604307710","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42320 Ack=397660 Win=64128 Len=0 TSval=3075500479 TSecr=1630538956"
"2110","2022-12-11 20:38:10.604470773","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2111","2022-12-11 20:38:10.604482882","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42320 Ack=397665 Win=64128 Len=0 TSval=3075500479 TSecr=1630538956"
"2112","2022-12-11 20:38:10.605549881","172.17.0.1","172.17.0.2","HTTP","218","GET /and HTTP/1.1 "
"2113","2022-12-11 20:38:10.612783802","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=397665 Ack=42472 Win=64128 Len=511 TSval=1630538964 TSecr=3075500480 [TCP segment of a reassembled PDU]"
"2114","2022-12-11 20:38:10.612824379","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42472 Ack=398176 Win=64128 Len=0 TSval=3075500487 TSecr=1630538964"
"2115","2022-12-11 20:38:10.613060588","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=398176 Ack=42472 Win=64128 Len=946 TSval=1630538965 TSecr=3075500487 [TCP segment of a reassembled PDU]"
"2116","2022-12-11 20:38:10.613072617","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42472 Ack=399122 Win=64128 Len=0 TSval=3075500488 TSecr=1630538965"
